source,source_id,content_type,title,model,topic,topic_slug,review_status,machine_status,sale_status,fact_status,parameter_completeness,parameter_count,image_status,image_authorization,image_count,department,publish_date,updated_at,seo_slug,legacy_url,source_file,source_hash,primary_image,category,sale_time,stock,delivery,warranty,candidate_reason,publication_blockers,route_state,route,source_type,source_path,source_locator,source_sha256,reviewer,reviewed_at,last_verified_at,publish_status,seo_candidate,searchable,index_eligible,indexable,canonical_slug,published_at,image_rights_status,previewed_at,og_image,media_authorization_batch_id,related_products,related_cases,related_articles,related_routes,content_scope,body_image_count,cover_image
企业知识库商品说明 + 商城 SQL,12287,产品,JH-S288-24W 宽边款 Φ95 射灯 天罡二号系列,JH-S288-24W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12287,,商城系统/商品说明/JH-S288-24W 宽边款 Φ95 射灯 天罡二号系列_12287.md,03c7a5d782cd771f2e477388cc52067d59d535f365c8abd7afc345cccef36797,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a2788d81e5a8.png,商用照明,2026-06-11 11:19:10,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12287,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-24W 宽边款 Φ95 射灯 天罡二号系列_12287.md,03c7a5d782cd771f2e477388cc52067d59d535f365c8abd7afc345cccef36797,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12287,,approved,2026-07-14,/og/products--spotlights--12287-c18206a7.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12286"",""/products/spotlights/12285"",""/products/spotlights/12284""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12286,产品,JH-S288-24W 窄边款 Φ95 射灯 天罡二号系列,JH-S288-24W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12286,,商城系统/商品说明/JH-S288-24W 窄边款 Φ95 射灯 天罡二号系列_12286.md,8536544b3c1f8306adcc144a183694180126ed938e3caa18fb58d117f91e9827,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a2786eccaeb6.png,商用照明,2026-06-11 11:10:33,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12286,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-24W 窄边款 Φ95 射灯 天罡二号系列_12286.md,8536544b3c1f8306adcc144a183694180126ed938e3caa18fb58d117f91e9827,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12286,,approved,2026-07-14,/og/products--spotlights--12286-3ca25ddb.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12287"",""/products/spotlights/12285"",""/products/spotlights/12284""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12285,产品,JH-S288-24W 预埋款 Φ95 射灯 天罡二号系列,JH-S288-24W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12285,,商城系统/商品说明/JH-S288-24W 预埋款 Φ95 射灯 天罡二号系列_12285.md,b892a7199b5ff4955e7d7b1587aa091c4ae3bb9e80af6a777f6b7569e0209a69,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a27893e15cda.png,商用照明,2026-06-11 11:20:11,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12285,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-24W 预埋款 Φ95 射灯 天罡二号系列_12285.md,b892a7199b5ff4955e7d7b1587aa091c4ae3bb9e80af6a777f6b7569e0209a69,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12285,,approved,2026-07-14,/og/products--spotlights--12285-05c0f6f8.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12287"",""/products/spotlights/12286"",""/products/spotlights/12284""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12284,产品,JH-S288-30W 窄边款 Φ95 射灯 天罡二号系列,JH-S288-30W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12284,,商城系统/商品说明/JH-S288-30W 窄边款 Φ95 射灯 天罡二号系列_12284.md,9ece968cad2dc773aae19522321bd5496d3e274f5d2720337ef9d9993d6dafd1,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a278b90e8d0e.png,商用照明,2026-06-11 11:41:03,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12284,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-30W 窄边款 Φ95 射灯 天罡二号系列_12284.md,9ece968cad2dc773aae19522321bd5496d3e274f5d2720337ef9d9993d6dafd1,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12284,,approved,2026-07-14,/og/products--spotlights--12284-6ef5a141.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12287"",""/products/spotlights/12286"",""/products/spotlights/12285""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12283,产品,JH-S288-30W 宽边款 Φ95 射灯 天罡二号系列,JH-S288-30W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12283,,商城系统/商品说明/JH-S288-30W 宽边款 Φ95 射灯 天罡二号系列_12283.md,733e6154972a91da040b9fa21bd0dd954889bdec9f6f680e98b3fd51d0a87268,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a278a277fc45.png,商用照明,2026-06-11 11:23:39,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12283,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-30W 宽边款 Φ95 射灯 天罡二号系列_12283.md,733e6154972a91da040b9fa21bd0dd954889bdec9f6f680e98b3fd51d0a87268,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12283,,approved,2026-07-14,/og/products--spotlights--12283-9d2b074d.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12287"",""/products/spotlights/12286"",""/products/spotlights/12285""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12282,产品,JH-S288-30W 预埋款 Φ95 射灯 天罡二号系列,JH-S288-30W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,当前站点媒体批次授权已登记；产品事实仍待负责人签核,23,未确认,2026-07-13,2026-06-11,/products/spotlights/12282,,商城系统/商品说明/JH-S288-30W 预埋款 Φ95 射灯 天罡二号系列_12282.md,f6b215012d777b99bad88fc3795046b6f7d1eca88ad9ecb224fa2a378f7854d5,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a278a7cb9b8b.png,商用照明,2026-06-11 11:32:40,21000,现货,,已通过当前机器门禁并进入私有预览。,"[""human_product_review""]",private_preview,/products/spotlights/12282,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-30W 预埋款 Φ95 射灯 天罡二号系列_12282.md,f6b215012d777b99bad88fc3795046b6f7d1eca88ad9ecb224fa2a378f7854d5,unknown,unknown,2026-07-13,published,true,true,false,false,/products/spotlights/12282,,approved,2026-07-14,/og/products--spotlights--12282-ebe84e9a.jpg,oss-batch-2026-07-14-current-site-341,"[""/products/spotlights/12287"",""/products/spotlights/12286"",""/products/spotlights/12285""]","[""/cases/jw-marriott-shenzhen-huafa-snow-world"",""/cases/pullman-shangrao-guangfeng""]",[],"[""/products/spotlights"",""/products"",""/contact""]",产品状态、结构化字段和当前页面素材已通过现有门禁；媒体批次授权已登记，产品事实与人工审核记录仍待负责人签核。,,
企业知识库商品说明 + 商城 SQL,12278,产品,JH-S288-8W 预埋款 Φ75 射灯 天罡二号系列,JH-S288-8W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,公开使用授权待核验,23,未确认,,2026-06-16,/products/spotlights/12278,,商城系统/商品说明/JH-S288-8W 预埋款 Φ75 射灯 天罡二号系列_12278.md,b537798650d7e86af4afccdf0a46041d9fef09753dc6de094e4267709086a3d7,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a2779ca2d927.png,商用照明,2026-06-16 14:34:20,20000,现货,,专题候选池记录尚未通过全部发布门禁。,"[""machine_review_incomplete"",""human_product_review"",""media_rights_signoff""]",candidate_only,/products/spotlights/12278,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-8W 预埋款 Φ75 射灯 天罡二号系列_12278.md,b537798650d7e86af4afccdf0a46041d9fef09753dc6de094e4267709086a3d7,unknown,unknown,2026-07-13,needs_review,false,false,false,false,/products/spotlights/12278,,needs_review,unknown,,,[],[],[],"[""/products/spotlights"",""/products"",""/contact""]",候选产品尚未进入页面显示集；机器门禁、人工事实审核与媒体使用范围仍待逐项确认。,,
企业知识库商品说明 + 商城 SQL,12272,产品,JH-S288-8W 宽边款 Φ75 射灯 天罡二号系列,JH-S288-8W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,公开使用授权待核验,23,未确认,,2026-06-16,/products/spotlights/12272,,商城系统/商品说明/JH-S288-8W 宽边款 Φ75 射灯 天罡二号系列_12272.md,6fa31edcf4889caf1cc8839aebf4901c56f652af6b8606ba4ea306e146d1bf9b,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a277894a7810.png,商用照明,2026-06-16 14:32:39,20000,现货,,专题候选池记录尚未通过全部发布门禁。,"[""machine_review_incomplete"",""human_product_review"",""media_rights_signoff""]",candidate_only,/products/spotlights/12272,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-8W 宽边款 Φ75 射灯 天罡二号系列_12272.md,6fa31edcf4889caf1cc8839aebf4901c56f652af6b8606ba4ea306e146d1bf9b,unknown,unknown,2026-07-13,needs_review,false,false,false,false,/products/spotlights/12272,,needs_review,unknown,,,[],[],[],"[""/products/spotlights"",""/products"",""/contact""]",候选产品尚未进入页面显示集；机器门禁、人工事实审核与媒体使用范围仍待逐项确认。,,
企业知识库商品说明 + 商城 SQL,12269,产品,JH-S288-8W 窄边款 Φ75 射灯 天罡二号系列,JH-S288-8W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,公开使用授权待核验,23,未确认,,2026-06-16,/products/spotlights/12269,,商城系统/商品说明/JH-S288-8W 窄边款 Φ75 射灯 天罡二号系列_12269.md,e515ef6ba1063f0363b0d484fac7f0805d5d8c6e0a1be1ff8ea075aa0ececd5b,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a27792f5ec53.png,商用照明,2026-06-16 14:33:42,20000,现货,,专题候选池记录尚未通过全部发布门禁。,"[""machine_review_incomplete"",""human_product_review"",""media_rights_signoff""]",candidate_only,/products/spotlights/12269,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-8W 窄边款 Φ75 射灯 天罡二号系列_12269.md,e515ef6ba1063f0363b0d484fac7f0805d5d8c6e0a1be1ff8ea075aa0ececd5b,unknown,unknown,2026-07-13,needs_review,false,false,false,false,/products/spotlights/12269,,needs_review,unknown,,,[],[],[],"[""/products/spotlights"",""/products"",""/contact""]",候选产品尚未进入页面显示集；机器门禁、人工事实审核与媒体使用范围仍待逐项确认。,,
企业知识库商品说明 + 商城 SQL,12268,产品,JH-S288-12W 预埋款 Φ75 射灯 天罡二号系列,JH-S288-12W,射灯,spotlights,needs_review,passed,在售,来源字段已通过机器校验,100%,8,完整,公开使用授权待核验,23,未确认,,2026-06-16,/products/spotlights/12268,,商城系统/商品说明/JH-S288-12W 预埋款 Φ75 射灯 天罡二号系列_12268.md,626e2e21846cd41956822c484f715bd7e6366cc619f9b61d553ad837d05ac23a,https://bocang.oss-cn-shenzhen.aliyuncs.com/upload/goods/2026-06/6a277ed8bb743.png,商用照明,2026-06-16 14:37:41,20000,现货,,专题候选池记录尚未通过全部发布门禁。,"[""machine_review_incomplete"",""human_product_review"",""media_rights_signoff""]",candidate_only,/products/spotlights/12268,knowledge_base_product_markdown+mall_sql,content/governance/product-candidates.json,商城系统/商品说明/JH-S288-12W 预埋款 Φ75 射灯 天罡二号系列_12268.md,626e2e21846cd41956822c484f715bd7e6366cc619f9b61d553ad837d05ac23a,unknown,unknown,2026-07-13,needs_review,false,false,false,false,/products/spotlights/12268,,needs_review,unknown,,,[],[],[],"[""/products/spotlights"",""/products"",""/contact""]",候选产品尚未进入页面显示集；机器门禁、人工事实审核与媒体使用范围仍待逐项确认。,,
