review_id,review_kind,decision_status,machine_state,candidate_sha256,source_snapshot_sha256,evidence_type,model_signature,category,member_count,member_keys,suggested_action,auto_family_id
candidate-010700a688f4,merge_candidate,manual_review_required,pending,85d304e6f71cd4f2266f05bd195547321a74b9bbb142118ad3d96d4f9f90c18d,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH34L59,筒射灯,3,mall_sql:1172|mall_sql:4246|mall_sql:4247,merge_only_after_product_owner_review,
candidate-06ecb753524d,merge_candidate,manual_review_required,pending,edd893630a59bc514b8e9ae18af9b2fcedc5cecd9fe82255d92149f9a604b94f,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-X-6L881,吸顶灯,2,mall_sql:11210|mall_sql:11211,merge_only_after_product_owner_review,
candidate-096894c89b4e,merge_candidate,manual_review_required,pending,f80a702dff4870ac0c33fbf21387f2937d65befaeebee92c78b37bf5cfe06023,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-X-6L1839,吸顶灯,5,mall_sql:10284|mall_sql:10285|mall_sql:10286|mall_sql:10287|mall_sql:10288,merge_only_after_product_owner_review,
candidate-0b34f80bc46c,merge_candidate,manual_review_required,pending,28fc060ffdfd691c77a6019f47cb4e0150d5adb95b07cfaf4a1c3041c6c2b0dc,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-8L6818,吸顶灯,3,mall_sql:11542|mall_sql:11543|mall_sql:11544,merge_only_after_product_owner_review,
candidate-0d588269706a,merge_candidate,manual_review_required,pending,83a53ce0e1e8a3e8292694a742d8f2387d637daddb5f1ed259c34af5e73b02f1,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-D-6L7067,吊灯,5,mall_sql:11196|mall_sql:11870|mall_sql:11871|mall_sql:11872|mall_sql:11873,merge_only_after_product_owner_review,
candidate-116c5f7d53fc,merge_candidate,manual_review_required,pending,01bed4869b2d4a70ebeb7ff84a594a7f1b83dd1beedfac019e7a1fc2e4587146,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH33L83,筒射灯,2,mall_sql:10065|mall_sql:4231,merge_only_after_product_owner_review,
candidate-12b7b3741149,merge_candidate,manual_review_required,pending,16451bd20cbe6ff4021c885894564775f58ce4cf410b88396d500a8459534476,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-71030,吸顶灯,3,mall_sql:2226|mall_sql:3911|mall_sql:3912,merge_only_after_product_owner_review,
candidate-130633edfc50,merge_candidate,manual_review_required,pending,2a29d51806852f2515248d73eb6b2f0c30c98d1f8e366b02125b73dc58aab7ee,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-8L9756,吸顶灯,3,mall_sql:11783|mall_sql:11784|mall_sql:11785,merge_only_after_product_owner_review,
candidate-13277f594c81,merge_candidate,manual_review_required,pending,4f6aa18c79dfee0079a1cb0ba362394310897d7741cc9905fbd9e55782454eee,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JHMB06,集成,2,mall_sql:3293|mall_sql:3294,merge_only_after_product_owner_review,
candidate-13c34077e946,merge_candidate,manual_review_required,pending,e2dc357f60d01bd39f6f28a2cdbc4254588ced148d0bd09a8d47918d0b863bb2,f09a37f2f0e1261fc536efbba1edb42708b055032b717e405ebbd302154e7204,normalized_model_signature_only,JH-D-6L3527,吊灯,4,mall_sql:10300|mall_sql:10301|mall_sql:10302|mall_sql:10303,merge_only_after_product_owner_review,
